T	1.00E+11	1.50E+11	1.80E+11	1.90E+11	2.00E+11	2.10E+11	2.20E+11	2.50E+11	3.00E+11
1.90E-01	-1.03E-02	-2.20E-03	-1.03E-02	-1.03E-02	-1.03E-02	-1.03E-02	-1.03E-02	-1.03E-02	-1.03E-02
1.95E-01	-1.04E-02	-1.71E-04	-1.04E-02	-1.04E-02	-1.04E-02	-1.04E-02	-1.04E-02	-1.04E-02	-1.04E-02
2.00E-01	-9.94E-03	1.86E-03	-9.94E-03	-9.94E-03	-9.94E-03	-9.94E-03	-9.94E-03	-9.94E-03	-9.94E-03
2.05E-01	-9.23E-03	3.72E-03	-9.23E-03	-9.23E-03	-9.23E-03	-9.23E-03	-9.23E-03	-9.23E-03	-9.23E-03
2.10E-01	-8.15E-03	5.51E-03	-8.15E-03	-8.15E-03	-8.15E-03	-8.15E-03	-8.15E-03	-8.15E-03	-8.15E-03
2.15E-01	-6.65E-03	7.12E-03	-6.65E-03	-6.65E-03	-6.65E-03	-6.65E-03	-6.65E-03	-6.65E-03	-6.65E-03
2.20E-01	-5.03E-03	8.40E-03	-5.03E-03	-5.03E-03	-5.03E-03	-5.03E-03	-5.03E-03	-5.03E-03	-5.03E-03
2.25E-01	-3.26E-03	9.37E-03	-3.26E-03	-3.26E-03	-3.26E-03	-3.26E-03	-3.26E-03	-3.26E-03	-3.26E-03
2.30E-01	-1.14E-03	9.93E-03	-1.14E-03	-1.14E-03	-1.14E-03	-1.14E-03	-1.14E-03	-1.14E-03	-1.14E-03
2.35E-01	9.95E-04	1.01E-02	9.95E-04	9.95E-04	9.95E-04	9.95E-04	9.95E-04	9.95E-04	9.95E-04
2.40E-01	2.95E-03	9.95E-03	2.95E-03	2.95E-03	2.95E-03	2.95E-03	2.95E-03	2.95E-03	2.95E-03
2.45E-01	4.86E-03	9.27E-03	4.86E-03	4.86E-03	4.86E-03	4.86E-03	4.86E-03	4.86E-03	4.86E-03
2.50E-01	6.57E-03	8.30E-03	6.57E-03	6.57E-03	6.57E-03	6.57E-03	6.57E-03	6.57E-03	6.57E-03
2.55E-01	7.98E-03	6.99E-03	7.98E-03	7.98E-03	7.98E-03	7.98E-03	7.98E-03	7.98E-03	7.98E-03
2.60E-01	9.19E-03	5.37E-03	9.19E-03	9.19E-03	9.19E-03	9.19E-03	9.19E-03	9.19E-03	9.19E-03
2.65E-01	9.99E-03	3.59E-03	9.99E-03	9.99E-03	9.99E-03	9.99E-03	9.99E-03	9.99E-03	9.99E-03
2.70E-01	1.03E-02	1.64E-03	1.03E-02	1.03E-02	1.03E-02	1.03E-02	1.03E-02	1.03E-02	1.03E-02
2.75E-01	1.02E-02	-3.42E-04	1.02E-02	1.02E-02	1.02E-02	1.02E-02	1.02E-02	1.02E-02	1.02E-02
2.80E-01	9.84E-03	-2.36E-03	9.84E-03	9.84E-03	9.84E-03	9.84E-03	9.84E-03	9.84E-03	9.84E-03
2.85E-01	8.96E-03	-4.31E-03	8.96E-03	8.96E-03	8.96E-03	8.96E-03	8.96E-03	8.96E-03	8.96E-03
2.90E-01	7.78E-03	-6.02E-03	7.78E-03	7.78E-03	7.78E-03	7.78E-03	7.78E-03	7.78E-03	7.78E-03
2.95E-01	6.29E-03	-7.55E-03	6.29E-03	6.29E-03	6.29E-03	6.29E-03	6.29E-03	6.29E-03	6.29E-03
3.00E-01	4.51E-03	-8.75E-03	4.51E-03	4.51E-03	4.51E-03	4.51E-03	4.51E-03	4.51E-03	4.51E-03
3.05E-01	2.60E-03	-9.56E-03	2.60E-03	2.60E-03	2.60E-03	2.60E-03	2.60E-03	2.60E-03	2.60E-03
3.10E-01	5.32E-04	-1.00E-02	5.32E-04	5.32E-04	5.32E-04	5.32E-04	5.32E-04	5.32E-04	5.32E-04
3.15E-01	-1.58E-03	-1.01E-02	-1.58E-03	-1.58E-03	-1.58E-03	-1.58E-03	-1.58E-03	-1.58E-03	-1.58E-03
3.20E-01	-3.50E-03	-9.76E-03	-3.50E-03	-3.50E-03	-3.50E-03	-3.50E-03	-3.50E-03	-3.50E-03	-3.50E-03
3.25E-01	-5.37E-03	-9.02E-03	-5.37E-03	-5.37E-03	-5.37E-03	-5.37E-03	-5.37E-03	-5.37E-03	-5.37E-03
3.30E-01	-7.08E-03	-7.96E-03	-7.08E-03	-7.08E-03	-7.08E-03	-7.08E-03	-7.08E-03	-7.08E-03	-7.08E-03
3.35E-01	-8.39E-03	-6.60E-03	-8.39E-03	-8.39E-03	-8.39E-03	-8.39E-03	-8.39E-03	-8.39E-03	-8.39E-03
3.40E-01	-9.42E-03	-4.89E-03	-9.42E-03	-9.42E-03	-9.42E-03	-9.42E-03	-9.42E-03	-9.42E-03	-9.42E-03
3.45E-01	-1.01E-02	-3.05E-03	-1.01E-02	-1.01E-02	-1.01E-02	-1.01E-02	-1.01E-02	-1.01E-02	-1.01E-02
3.50E-01	-1.03E-02	-1.07E-03	-1.03E-02	-1.03E-02	-1.03E-02	-1.03E-02	-1.03E-02	-1.03E-02	-1.03E-02
3.55E-01	-1.02E-02	1.00E-03	-1.02E-02	-1.02E-02	-1.02E-02	-1.02E-02	-1.02E-02	-1.02E-02	-1.02E-02
3.60E-01	-9.63E-03	2.98E-03	-9.63E-03	-9.63E-03	-9.63E-03	-9.63E-03	-9.63E-03	-9.63E-03	-9.63E-03
3.65E-01	-8.67E-03	4.83E-03	-8.67E-03	-8.67E-03	-8.67E-03	-8.67E-03	-8.67E-03	-8.67E-03	-8.67E-03
3.70E-01	-7.41E-03	6.49E-03	-7.41E-03	-7.41E-03	-7.41E-03	-7.41E-03	-7.41E-03	-7.41E-03	-7.41E-03
3.75E-01	-5.77E-03	7.90E-03	-5.77E-03	-5.77E-03	-5.77E-03	-5.77E-03	-5.77E-03	-5.77E-03	-5.77E-03
3.80E-01	-3.95E-03	8.99E-03	-3.95E-03	-3.95E-03	-3.95E-03	-3.95E-03	-3.95E-03	-3.95E-03	-3.95E-03
3.85E-01	-2.02E-03	9.74E-03	-2.02E-03	-2.02E-03	-2.02E-03	-2.02E-03	-2.02E-03	-2.02E-03	-2.02E-03
3.90E-01	7.60E-05	1.01E-02	7.60E-05	7.60E-05	7.60E-05	7.60E-05	7.60E-05	7.60E-05	7.60E-05
3.95E-01	2.11E-03	1.00E-02	2.11E-03	2.11E-03	2.11E-03	2.11E-03	2.11E-03	2.11E-03	2.11E-03
4.00E-01	4.06E-03	9.62E-03	4.06E-03	4.06E-03	4.06E-03	4.06E-03	4.06E-03	4.06E-03	4.06E-03
4.05E-01	5.91E-03	8.79E-03	5.91E-03	5.91E-03	5.91E-03	5.91E-03	5.91E-03	5.91E-03	5.91E-03
4.10E-01	7.47E-03	7.57E-03	7.47E-03	7.47E-03	7.47E-03	7.47E-03	7.47E-03	7.47E-03	7.47E-03
4.15E-01	8.77E-03	6.08E-03	8.77E-03	8.77E-03	8.77E-03	8.77E-03	8.77E-03	8.77E-03	8.77E-03
